Date,Type,open,close,low,High,Candle Mean,Moving Average Short,Moving Average Medium,Moving Average Long,EXPONENTIAL AVERAGE,RSI,Pattern
17-Dec-20,Bear,478.0,467.75,465.55,478.8,472.875,435.96999999999997,390.633,291.04850000000005,441.26354476853464,63.841883119425546,[]
18-Dec-20,Bear,467.75,463.3,458.5,472.95,465.525,440.03999999999996,392.70399999999995,293.365,443.36225479057896,56.93501530239711,[]
21-Dec-20,Bear,459.0,444.25,427.2,467.0,451.625,443.4599999999999,394.44499999999994,295.58625000000006,443.44680195338094,50.19164208227834,[]
22-Dec-20,Bull,444.25,468.65,435.0,470.5,456.45,448.13499999999993,396.665,297.9295,445.8471065292494,50.42541385369462,[]
23-Dec-20,Bull,467.15,470.75,462.5,476.7,468.95,452.06000000000006,399.082,300.28325000000007,448.2188106693209,57.372273964202215,[]
24-Dec-20,Bull,474.9,478.55,466.0,482.9,476.725,456.03999999999996,401.6739999999999,302.67600000000004,451.10749536748074,57.53405828089683,['Doji']
28-Dec-20,Bull,480.0,483.55,480.0,492.95,481.775,459.70999999999987,404.4889999999999,305.09375000000006,454.1972577134349,57.61206771702759,[]
29-Dec-20,Bear,485.0,483.4,478.2,489.85,484.2,463.30249999999995,407.158,307.5107500000001,456.9784712645364,57.43650926334028,['Doji']
30-Dec-20,Bull,484.0,485.4,478.15,487.6,484.7,466.3825,409.9150000000001,309.9377500000001,459.6852835250567,57.57513785372357,"['Doji', 'HARAMI']"
31-Dec-20,Bear,485.4,483.75,480.25,490.8,484.575,468.66,412.61100000000005,312.3565000000001,461.9771612845751,50.34283597547608,"['Doji', 'ENGULFING']"
01-Jan-21,Bull,485.0,503.85,482.55,508.0,494.425,472.0625,415.5810000000001,314.8757500000001,465.96505068604415,57.633616477486285,[]
04-Jan-21,Bear,507.0,498.9,495.2,510.9,502.95,474.32250000000005,418.392,317.3702500000001,469.10171252546854,50.3710686177694,[]
05-Jan-21,Bull,498.9,499.45,492.0,504.5,499.17499999999995,475.71999999999997,421.094,319.86750000000006,471.99202561828105,50.546435866469864,"['Doji', 'HARAMI']"
06-Jan-21,Bear,501.8,496.8,489.5,504.95,499.3,477.39250000000004,423.756,322.3515000000001,474.3546898451114,50.3867961684514,['ENGULFING']
07-Jan-21,Bull,500.1,513.85,499.5,520.9,506.975,479.89,426.74499999999995,324.92075000000006,478.1161479551008,57.62903261519384,[]
08-Jan-21,Bear,520.0,517.0,514.5,527.35,518.5,482.18999999999994,430.01199999999994,327.5057500000001,481.81937195937695,64.74740595915438,['Doji']
11-Jan-21,Bear,520.45,508.35,504.0,522.5,514.4000000000001,484.2925,433.32499999999993,330.04750000000007,484.3460984394363,64.1452355906997,[]
12-Jan-21,Bull,507.0,511.25,502.55,520.65,509.125,486.505,436.3529999999999,332.60375000000005,486.9083747785376,64.36548735733288,['Doji']
13-Jan-21,Bull,515.9,536.65,514.6,540.0,526.275,489.55,439.948,335.28700000000003,491.6456724186769,64.70092490090346,[]
14-Jan-21,Bear,537.95,536.95,530.1,542.45,537.45,492.62000000000006,443.6139999999999,337.97175000000004,495.96037028356477,64.99295240928441,['Doji']
15-Jan-21,Bear,536.8,527.95,524.0,541.0,532.375,495.6300000000001,446.9509999999999,340.61150000000004,499.00700168513004,57.77956092376348,[]
18-Jan-21,Bear,531.0,515.5,503.8,532.3,523.25,498.2400000000001,449.888,343.189,500.5777634294033,57.51963731404989,[]
19-Jan-21,Bull,516.0,532.8,516.0,535.0,524.4,502.6675,453.1219999999999,345.853,503.6465478646982,57.79995962717787,[]
